I have decided to stick with love. Hate is too great a burden to bear.,"Martin Luther King, Jr."
Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love.,Lao Tzu
"Love is of all passions the strongest, for it attacks simultaneously the head, the heart and the senses.",Lao Tzu
"Let us always meet each other with smile, for the smile is the beginning of love.",Mother Teresa
"You can search throughout the entire universe for someone who is more deserving of your love and affection than you are yourself, and that person is not to be found anywhere. You yourself, as much as anybody in the entire universe deserve your love and affection.",Buddha
"Love and compassion are necessities, not luxuries. Without them humanity cannot survive.",Dalai Lama
"As the Father has loved me, so have I loved you.",Jesus Christ
We are never so defensless against suffering as when we love.,Sigmund Freud
"Love is always bestowed as a gift - freely, willingly and without expectation. We don't love to be loved; we love to love.",Leo Buscaglia
There can be no deep disappointment where there is not deep love.,"Martin Luther King, Jr."
All mankind love a lover.,Ralph Waldo Emerson
Keep love in your heart. A life without it is like a sunless garden when the flowers are dead.,Oscar Wilde
The course of true love never did run smooth.,William Shakespeare
What we have once enjoyed we can never lose. All that we love deeply becomes a part of us.,Helen Keller
"Love is like a beautiful flower which I may not touch, but whose fragrance makes the garden a place of delight just the same.",Helen Keller
"You, yourself, as much as anybody in the entire universe, deserve your love and affection.",Buddha
Life without love is like a tree without blossoms or fruit.,Khalil Gibran
Affection is responsible for nine-tenths of whatever solid and durable happiness there is in our lives.,C. S. Lewis
The hunger for love is much more difficult to remove than the hunger for bread.,Mother Teresa
Passion is momentary; love is enduring.,John Wooden
One is loved because one is loved. No reason is needed for loving.,Paulo Coelho
"I was born with an enormous need for affection, and a terrible need to give it.",Audrey Hepburn
The best thing to hold onto in life is each other.,Audrey Hepburn
For small creatures such as we the vastness is bearable only through love.,Carl Sagan
Love takes up where knowledge leaves off.,Thomas Aquinas
"Blessed is the influence of one true, loving human soul on another.",George Eliot
